Sample_ID,Herb_Name,Adulterant_Present,Adulterant_Type,Adulteration_Level,Spectral_Data
1,Ashwagandha,0,NotPresent,0,"0.03144692171676544,0.4057625193157076,0.7062674716848701,0.9239179378687349,0.42910206650334226,0.4122123793892244,0.4872916967100106,0.07381199650351977,0.7966163344826115,0.6170880417651204,0.44477517988951565,0.5279298957341393,0.5346927165218156,0.6168553525155942,0.0077158371530808845,0.49827554938199636,0.6784257257496992,0.40236519209216326,0.6937044282375756,0.22412615438828898,0.3244465986967099,0.24684458138988907,0.045364673918836584,0.5350151875621643,0.942644841269697,0.3074967215141743,0.24868674176762984,0.5584625637639054,0.6788120913282427,0.9643960751883858,0.4132430710984294,0.7057811856687474,0.4644355054726993,0.0885674035315771,0.9476221401681338,0.08080880140257829,0.8516851580612702,0.09522026962511443,0.0005298620023811429,0.3440790398178273,0.4916784945597976,0.28633094549249116,0.6020147634737244,0.18818911668462857,0.14951644106825457,0.6075439421294403,0.8728513740634029,0.5179280564046865,0.10894713108975596,0.6730421367445808,0.22084696794822922,0.7200376501582667,0.7304136335361857,0.04242481574268031,0.18261315127073574,0.6515891871268951,0.9663599493642503,0.4965781679783384,0.9948133849314136,0.3085039622637741,0.6908367804894597,0.2622999559801984,0.4656435357647001,0.9278867103792909,0.3863537473965022,0.2516565297204286,0.22904639907926982,0.3418522707692062,0.5307091646375192,0.1364862313312324,0.5280023614965935,0.21083853766455263,0.7280312213556376,0.3859556030449631,0.13215346873127864,0.92715964871547,0.03127395738861438,0.377715952026911,0.6137964131265963,0.9922337578536475,0.680834180965233,0.3714547200188597,0.8391553901525574,0.6954563623114522,0.40060313845025786,0.4767073118515589,0.1085643524661618,0.9430427963957289,0.9264300074738607,0.8741899931558087,0.01974322368001924,0.7429839189241754,0.2941674800769305,0.799264341017158,0.5630670456549085,0.7282952356200514,0.36009590723921214,0.4049134584612285,0.6378784365538266,0.6893807155689033"
2,Ashwagandha,1,Talc,1,"0.7177947815771013,1.690364237361053,1.7782899925458906,0.4126649281819361,1.162980930476116,0.5997382196694936,1.1301466769873112,0.609411991818797,0.79371312079481,1.7139845822924857,0.9344651942452029,1.5489828316661838,1.9982530837648222,1.2723080999413863,1.627143579700364,1.839179091612243,1.8865459631036798,0.49761262031827824,1.5474358280366611,0.20483573059690285,0.12399567611955598,1.4025051977991316,0.6463376215626435,0.7805959737819497,0.026495763989072163,1.6942073624411567,1.3669194568542442,0.36023157141477835,0.25515428084330694,0.3496542911501883,0.5076444637696795,0.48856544082093856,1.715381083846574,1.9711880804494102,0.5039228064587848,0.11605884888712348,0.49229331457161396,1.2475160851820333,1.2279831111917723,0.32536972966043076,1.0974082033582842,0.5159618857029775,0.3697108042766446,1.9031434413269106,0.3392699174503946,1.478672722973601,0.3280546225732208,1.1380773320103683,0.8170413746378644,1.529048077639962,1.4478740417389557,1.7433478668650872,0.12528444594807508,0.39015256180491664,1.3517718381789827,1.5955013930520652,1.0784930204589207,1.0615019268698314,0.19900997444398993,0.5750838682476327,1.5011973536792176,0.8814144990739186,0.48367257237729366,0.6979311704986952,0.5993854840973947,0.4121990732699641,0.7366342731113196,1.7073821133448883,1.7621658611863913,1.8218440935984617,1.8697430369418222,1.6230267725165186,1.240518244765348,1.653406651317481,1.045731371289537,0.2612814557795733,0.5072465442784224,1.4471218382622226,0.6503137846088412,1.6212899055224754,0.4243833391030156,0.5374059009646737,0.2358517812974168,1.8187263746585849,1.2682015816366154,0.8677082221368029,0.5424616623567999,1.1143623316168325,1.1958560138548266,0.5729765421256743,1.3384365198596269,1.6047514195587025,0.14629288703572052,0.6621778095120614,0.20944936679639614,1.096921777331695,0.9062373811204876,1.7228929798563972,0.6673251291685776,1.0399448731114698"
3,Turmeric,1,Dextrin,2,"0.11877255720833468,1.4343308181345331,1.1647359919792848,0.5154757559437093,1.5045606217530991,0.34233992142856895,1.9564217622767248,0.5314696484544521,1.1281821132632883,0.31211374774774736,0.26899894347179365,1.1496651200122228,0.8259661706465888,0.6287592584902215,0.19327641628295256,0.04651870147993309,0.10108928828044883,1.9327792436625866,1.3930188639901397,0.30607815317838516,1.7360471332285479,1.9471219864364437,1.6975566856727524,0.06370974326178458,0.14119685250358693,0.7110112127957047,0.546335414031915,1.4665708713685928,0.8653833498550196,1.3570683639513552,1.1632587950117597,0.8300898297478909,1.8560088339528462,1.1616920782671232,1.006712080567106,1.5399132264538566,0.9711167623200894,0.5138142354998436,1.5469396457123694,0.829477495526183,0.6124416080615485,1.9254587108274623,1.0402527826129675,0.5361834822169327,1.83489042105165,1.1069114624996255,1.9231719816297523,0.9793703511900238,0.9692582712630338,1.638890040165419,1.7701329622680244,0.4936914430343491,0.3916558452938059,0.15347171952784255,0.7353710491685432,1.8499461114416247,0.5286430389546788,1.9674514692537721,1.9474093080659607,0.7047784224431501,1.282590956876935,0.05544554407078195,0.3520122642400556,0.9845119128401618,1.2450944726919584,0.6207371340808512,1.2224081470656494,1.577656723136242,1.6305833180629672,0.16592009897134807,0.16717974720944495,1.7827539006044804,0.33137556982093375,1.9593298062988163,0.16819087709371683,0.40997641420065967,0.2538674579140625,0.2783365847289765,1.9658256453082474,0.5375225325638084,1.997237461372941,1.0830417765586953,0.5063620166443543,1.0091103386614846,1.3079705142773934,0.9532133254907045,0.7903790141079763,1.4384010364786,1.9210418239080387,0.8213071553754565,1.904060749642305,0.5014082266488338,1.232581893083817,0.6228964807923867,1.6369580554576584,0.6521619412940338,1.337975751387459,1.6021413280350145,0.15098712381979396,0.47904839684612166"
4,Ashwagandha,1,Talc,6,"1.1317667747827027,0.19561021662609424,1.4888879455307322,0.7181550907848206,1.3517480028974476,0.8358991569598704,0.3055227124472608,1.0886298871948341,1.9000527516693706,1.8296550243053928,0.32781194002516734,0.4268834731894655,1.4617657856040334,0.2835659950522409,1.6352976534031705,0.5585942167594184,1.4843102905941374,0.4326625714082708,0.7081413389903761,0.44981999440474363,0.9973816564550559,0.8876579112216814,1.4695861371534134,0.46055419952333465,0.9156930974029851,1.0524034717490383,1.00091659440868,0.9800659923536483,1.972120872069987,0.1589479786545367,1.1079881899135158,0.8500320357366136,1.9045579965857664,0.4575061705080754,1.6111223792621894,1.6677714958623484,1.530378382778031,0.12353771247364498,0.02453114034761561,1.018861185142157,1.5315898947660693,0.7379340399718339,0.15121704998920582,1.214538751301159,0.07093779797745503,0.20205583371977998,0.8198215285940167,1.5042772410983012,0.21433691422555,1.2570063472257216,0.11746597820673266,1.6456428246633794,1.8023899914524255,1.2365961016924336,1.9951329387930898,1.2481277504358828,0.5511131699904481,1.3703073833821096,1.0396576471062704,1.948034661281834,1.328379505835265,1.3421781760706741,0.39087180918285247,1.859729629349151,1.2839946615646465,1.5672747182680968,0.2411912496866162,1.0119922961366323,1.9528149331765248,0.5726447011696487,0.9736839575003418,0.845583167854906,0.9681751916224299,0.4132061153362705,1.4928358639465455,1.5749502005841378,0.0545994983384781,0.3541074486536706,0.8021220196367911,0.601402864635944,1.370541839816083,0.34382186272515014,0.39561577919861923,1.2350060425168297,0.11042388736347464,0.6853473278244218,1.9055771059712385,0.7211137795829985,1.3619981542342756,0.8615319951694129,0.8200202230522031,1.6684572742178212,1.214049941183446,1.1053803006225549,0.339281486681521,0.0907733225206615,1.056117042766712,1.382530711910632,1.275125180546024,1.1352154464427582"
5,Ashwagandha,0,NotPresent,0,"0.674380059293118,0.6800406149216296,0.6102761220444661,0.6251017521590576,0.5991890912641618,0.9626777451496916,0.46111420412760795,0.4913080505618914,0.9019908602127439,0.1997416953746708,0.7032355887628249,0.4036715451284738,0.5691740679215438,0.41749362472322427,0.9636311961926676,0.1271437189821465,0.409755918202133,0.32188401590920357,0.05370219814637667,0.5604666907561134,0.6098892627442057,0.7690999653627789,0.8816080791076145,0.06864002055009444,0.8280280546354059,0.2541799920464545,0.2662435999967283,0.43356611934977773,0.25428966001586084,0.14967078775763654,0.8767560941745844,0.9002668099633342,0.21732247110593328,0.9467323465577858,0.7433395812559958,0.02834477394895074,0.9689677037642892,0.9844905020915994,0.9334091975329153,0.8663314127303471,0.6316303155319763,0.2375513661254096,0.02730898316963548,0.6454030209657842,0.856091713157214,0.949830145097597,0.2280178693785565,0.10417281821585778,0.09886983245051217,0.2333838470198465,0.7805818393599748,0.6447604424954504,0.946907475345794,0.11784865204326622,0.5794641166302966,0.09916067530317396,0.12360476508143725,0.20658801310892172,0.09852440489425507,0.42857007156932814,0.5905180293758322,0.41489129739159325,0.18212269632914735,0.27295223687867154,0.20590122082866202,0.30147604827793184,0.028023574637084603,0.029233558193136333,0.8589903051466573,0.22694060250404213,0.04142927354842918,0.9014823037016589,0.7196029290596337,0.9679312564033806,0.6152010008184132,0.4688716568429475,0.20135349725367924,0.8150140126845647,0.05528455450104708,0.30773412594978544,0.14594688806338252,0.2917302080113442,0.2560738913639371,0.8713266057076215,0.007420713445003058,0.9657308448169214,0.818664077459942,0.8930662265529865,0.776591429398563,0.7856256514726342,0.7732409745361024,0.07805286532379563,0.05891943168237879,0.7102269155082531,0.03778313726962157,0.06961144097467886,0.9628551048412349,0.9837998025782957,0.01350119592467236,0.793100195100384"
6,Echinacea,0,NotPresent,0,"0.5390712860634473,0.9132114820426321,0.25332487590038966,0.539488872195202,0.01763400622388389,0.7832629509224036,0.5541878319591723,0.9766826267185351,0.40262636265887763,0.9607879626130584,0.6072285085961525,0.8909433293371447,0.1391276554894877,0.8221725321796929,0.43201499192745185,0.598596418215285,0.8756862451825865,0.8645673713540493,0.18019970081081516,0.5981610453924546,0.2671614296016419,0.3974310316449967,0.6298808372968425,0.6637447406711325,0.2307655937709402,0.23261055494040184,0.9794775815716942,0.36126202846446875,0.5624838117905644,0.5597495901151038,0.261707663821551,0.997527194639673,0.05038809775552644,0.028526958559978444,0.06081074887521132,0.6169990064861557,0.9118055965077102,0.4594671788042095,0.7162914410801721,0.9171945843406689,0.14718130538889684,0.3055808303124061,0.8684757747409989,0.40800536107136154,0.187603682126656,0.6749382626990172,0.44590888063650436,0.9221058038232995,0.7586453579500821,0.5938248777224715,0.5257052200345126,0.464038013621072,0.22246191374493052,0.7385442191300028,0.8387560130340982,0.1787517348294908,0.3149466187240738,0.44405855803496264,0.09559883214116971,0.35769904865449276,0.8488458493406212,0.8512713904623197,0.8178902830385775,0.020049215920449615,0.3703303795925058,0.3612549569580611,0.3127537672398478,0.3741148582862359,0.8257025134506055,0.7312352272617457,0.974364034937643,0.7942469595193853,0.35344957263622223,0.745932068906068,0.5203088415126939,0.6234556044755845,0.48616845589893865,0.9886993786882684,0.11442658522817994,0.9680946392122455,0.5360358664226201,0.9866801683182455,0.16275651014886494,0.9093765477664426,0.8991367458502609,0.9124116424106079,0.4842486236267046,0.16764459033931245,0.8916560569555584,0.5304965711789117,0.8360550925726602,0.11497134606916959,0.17958557562165478,0.70920650643315,0.6644048852790327,0.7618477341709438,0.464941318631777,0.5639148812784905,0.921324632451477,0.21801591319432156"
7,Echinacea,0,NotPresent,0,"0.9183300742473721,0.5073069884091559,0.9491650871648578,0.7915475982325552,0.531460352038413,0.07445333974918966,0.8628831378571633,0.4455409176087777,0.03224619285337216,0.30354862315234554,0.4438705172182371,0.539315131707146,0.9946991711394481,0.7613512343164802,0.2663064711820069,0.7488560059507212,0.40473880976022136,0.8875934614471273,0.22119824167083701,0.08386580421148881,0.07144137094328662,0.8051347350106095,0.968652979281649,0.8010556762166041,0.7593470933764059,0.7037646684632648,0.03819869042465163,0.9085325411094212,0.5602081373146346,0.020286541519776158,0.4089897738088909,0.6472911921634112,0.6836102589954507,0.05582307040132384,0.26115548080477924,0.13934033816620028,0.34182816481918843,0.3704098719071337,0.6993388085420364,0.8361195309259476,0.033448027818647086,0.4250733633846463,0.7945906525613557,0.2117499631148222,0.6841552906694833,0.13687389165749442,0.038546293532295994,0.41435302973795973,0.042928370426436935,0.6499553239019542,0.7518592411804622,0.8296221612211423,0.402344856671335,0.5243867992639768,0.6572852866369376,0.5463002537539763,0.43653241919630836,0.5889904319878492,0.3683275863255613,0.5571101262308407,0.9475912426924336,0.9686889458860706,0.5236511502318876,0.8510343926201341,0.09318278171901051,0.9359910738279137,0.6030184502643722,0.5675124408628905,0.9551641009827928,0.5120469273689231,0.6287845500350205,0.8826441829289814,0.2093228884970183,0.4180775945277194,0.08455745908001389,0.4153795402607262,0.20479305511931778,0.07055613384638404,0.31438885678362183,0.40225421976906084,0.36957826833798424,0.6973473400752324,0.7911030787834143,0.3718439788477189,0.2367392444028359,0.1284086006268521,0.7485391032651193,0.8740521509906167,0.005437994376155331,0.3954118882449492,0.9721016984014597,0.10946459921107599,0.5564470463191759,0.4028633511781162,0.33645976926033494,0.2681302548286366,0.561275959913787,0.7748954450363145,0.6064957805680365,0.7120873522851688"
8,Echinacea,1,Talc,0,"0.1870989641360603,0.08085021598964959,1.7832189232431168,0.17477338179874002,1.435584129247443,1.9474155436068736,0.350287017038887,1.8762234381845162,1.791213543605681,0.7621581450440804,0.5169287834645555,0.2615427655923601,0.8596877363738635,1.861796848088171,0.9287969178810809,1.3877501164471473,1.1787930775423363,1.6607592316253523,1.3773750427720415,1.0099396703648469,0.14553348470155925,0.20393070355996556,1.4773000549365516,0.6318117404097778,0.2539767657885692,1.4442809695523668,0.6829142122197946,0.5104468952222427,0.21789835055797746,1.6298563930357775,1.70502121209157,0.4561123316947724,1.8062851203806805,0.11547159070392787,1.2002062743739734,0.365134811170994,0.45172045142743666,1.258890461761131,0.7115231549088741,0.3047428470974971,1.6429231586025783,1.6063132968894764,1.052133428410831,1.384221217147398,1.067783202387344,1.600933182345299,0.2804124029430932,0.0780389109473083,1.3126304082368312,0.2708489278918942,0.5722523221691074,1.7997658345644278,1.3810112976119098,1.4171018980565058,1.9474600266525715,1.7214233564592598,1.7658011939919038,0.46130344942502566,0.7843097822396508,0.022849627754762958,0.9290749907912033,1.2923059761622324,0.2781950787300098,0.8743142310592664,1.8272405445911482,0.3659190486305979,0.5778782763899404,1.1355929318315936,1.765624313847131,0.26845999690119804,0.2639755523484273,0.17164391652434108,0.5395535362358199,0.5418595906601891,0.7151109283841641,1.4709638799525202,0.8569603035471303,0.15469492423141928,1.8620024970798998,1.2214877060683642,1.803991109286626,0.5625781692266056,1.0477603926352512,0.9909757981753833,1.033116663689987,0.8448340876799179,0.44497050813388817,0.9660538968987158,1.9339543155946983,1.107242406793962,1.0082726760745142,1.8356078210156614,0.7690795947918516,0.9517387886827855,1.6783761520399971,0.01191812963690464,1.2971047311431414,0.3293446072766042,0.45450972760153574,1.3484959344406562"
9,Ashwagandha,0,NotPresent,0,"0.5592681090985535,0.3342375478386752,0.6669277508270328,0.8004186307147517,0.3710047501345155,0.10362405374415307,0.6557886362574845,0.9946433824518758,0.734417113141432,0.4780724282208353,0.6918019512609742,0.7352092130535525,0.8278099534928316,0.8230884595743923,0.9510903478157076,0.7130499073342185,0.7288414289978014,0.5875953973450377,0.12968307832061843,0.8234952933721945,0.18015794589413914,0.49933449361439874,0.4765504394703878,0.35350488080753195,0.9960553210049804,0.8543111388187047,0.9861649996938736,0.36278208521309263,0.2255173626906306,0.35091186417168596,0.1148789787996446,0.09386710680152366,0.10901677117712583,0.2109793615507034,0.38097651263797616,0.35281560645585885,0.8785776232253166,0.9983483690336903,0.7056287764733306,0.9641893122927049,0.7670727582401149,0.6099176786361094,0.1370471699825867,0.21809434051535626,0.045180117257556995,0.9146218790357548,0.5277361662053595,0.11409509048383737,0.6805003226186392,0.07119117978153688,0.7837421260223453,0.7034484260670378,0.05588308524391106,0.20840582257297746,0.7822659469366908,0.4207428332108929,0.19665049819690839,0.40713817493552906,0.6749322220839937,0.8946910518641972,0.5726544162716586,0.8102758764179764,0.576635673882452,0.2583698098373679,0.19430122019376528,0.3301083337922949,0.8504798830966401,0.5411660378392632,0.6698828993877027,0.7834791524797694,0.43347813935382196,0.8123507573083428,0.4449609695165575,0.4707046922622762,0.5988144974039485,0.06015652554325501,0.7893542252132152,0.8182700219603231,0.29592062015030296,0.9599725382400042,0.006875185468481093,0.12648854844276058,0.31265466497518657,0.936943220144438,0.04295862521233296,0.28043843998846907,0.9806678779442339,0.3426804004785665,0.19968583919454375,0.7406600421878244,0.48575859464349447,0.1435459492868506,0.9779188314290232,0.9120552390636174,0.22322637702017,0.9528962965710931,0.919888818488966,0.5590901392464989,0.4895527426826336,0.2042553926934737"
10,Ginseng,0,NotPresent,0,"0.13691000885286453,0.5165959443957362,0.5006753966266148,0.15183679019680874,0.22832860774971764,0.8778946066258736,0.36045955740839075,0.2900637457817836,0.49040726275828417,0.1266341488848598,0.22470927965623821,0.1837083704126079,0.34198044024912844,0.07245588356082788,0.5169861661503607,0.30985961163542797,0.5134583707520045,0.47160249730408643,0.023790314279763303,0.6898115914626965,0.5448649806448629,0.2653738735073018,0.7487069914348458,0.008058303301682446,0.7280568551602385,0.02114224442686008,0.5104788571608414,0.4262662860555336,0.2975331090699066,0.21469868666262215,0.38355467658995246,0.9485065370334557,0.48027043083128185,0.3327639647004321,0.6904182481588096,0.8944394954109625,0.36007792275511996,0.7091722846671145,0.49824135726224394,0.566561189719899,0.8674931851970554,0.2258393817809523,0.8701196513184717,0.5281898891770959,0.9212589630391635,0.20156792344274488,0.433324341194012,0.7787238643903848,0.29627211325965164,0.8031563926402495,0.4196817766705927,0.9141419616814863,0.5293235575632954,0.15241378864656507,0.8970645656221133,0.6348775770332897,0.685036065613415,0.9654457920029915,0.4357192962206421,0.6533141677056337,0.7734169822579733,0.001343372382554664,0.7479406429559948,0.4257760090458975,0.37483748102412306,0.16729206180194012,0.3420159999110013,0.028469039143205532,0.42029840697194365,0.14443226245598428,0.06849707196762644,0.5823111069778147,0.5669633181710745,0.15305054277199492,0.1586141983535584,0.3932306312882268,0.8490554322418434,0.2974502727318814,0.5587933904930455,0.6111578210333701,0.37932442945493583,0.9922556495596908,0.23650954815246372,0.9112716260340669,0.4091528660297089,0.8973679303714379,0.9870210488401103,0.9294378326428107,0.08175986553235537,0.9313507854380413,0.9737969762874403,0.4440207865871676,0.8399315962761329,0.8237262822175595,0.2299293865627008,0.06412680164571283,0.4085773701600556,0.6526833078837907,0.5097384255428743,0.7286138519250387"
